Time,Absorbance
0.00109,0.037
0.00112,0.037
0.00116,0.037
0.00123,0.0368
0.00127,0.0367
0.00135,0.0366
0.00148,0.0363
0.00153,0.0361
0.00158,0.036
0.00163,0.0359
0.00168,0.0358
0.00179,0.0357
0.0019,0.0356
0.00196,0.0355
0.00203,0.0354
0.00216,0.0352
0.00244,0.0349
0.00252,0.0348
0.00268,0.0346
0.00277,0.0343
0.00286,0.0341
0.00304,0.034
0.00324,0.034
0.00334,0.0339
0.00344,0.0338
0.00355,0.0336
0.00355,0.0333
0.00367,0.0331
0.0039,0.033
0.00403,0.0329
0.00429,0.0328
0.00442,0.0327
0.00471,0.0324
0.00501,0.0323
0.00533,0.0321
0.0055,0.032
0.00568,0.0318
0.00586,0.0315
0.00604,0.0313
0.00624,0.0312
0.00664,0.0311
0.00685,0.0309
0.00729,0.0306
0.00776,0.0304
0.00801,0.0302
0.00852,0.03
0.00879,0.0298
0.00936,0.0296
0.00965,0.0295
0.0103,0.0294
0.0109,0.0293
0.0113,0.0292
0.0116,0.0291
0.012,0.0288
0.0128,0.0287
0.0132,0.0286
0.014,0.0285
0.0149,0.0283
0.0154,0.0282
0.0164,0.028
0.0175,0.0279
0.0198,0.0277
0.0217,0.0276
0.0231,0.0275
0.0238,0.0275
0.0254,0.0275
0.0262,0.0275
0.0287,0.0274
0.0297,0.0273
0.0316,0.0271
0.0336,0.0273
0.0346,0.0273
0.0357,0.0273
0.0369,0.0273
0.0418,0.0273
0.0444,0.0273
0.0473,0.0273
0.0488,0.0273
0.0536,0.0271
0.0553,0.0271
0.0607,0.0271
0.0646,0.0271
0.0666,0.0271
0.0731,0.0271
0.0803,0.0271
0.0854,0.0271
0.0909,0.0271
0.0968,0.0271
0.103,0.0271
0.113,0.027
0.12,0.0269
0.124,0.0269
0.128,0.0269
0.136,0.0269
0.15,0.027
0.154,0.027
0.164,0.027
0.175,0.027
0.186,0.0269
0.192,0.0269
0.204,0.0269
0.224,0.0269
0.239,0.027
0.246,0.027
0.254,0.027
0.262,0.027
0.27,0.027
0.288,0.027
0.297,0.027
0.316,0.027
0.326,0.027
0.336,0.027
0.347,0.027
0.369,0.027
0.392,0.0271
0.405,0.0271
0.418,0.0271
0.444,0.027
0.473,0.0271
0.519,0.0271
0.553,0.0271
0.588,0.0271
0.626,0.0271
0.709,0.0273
0.731,0.0273
0.778,0.0274
0.803,0.0274
0.854,0.0274
0.909,0.0274
0.938,0.0274
0.967,0.0274
1.03,0.0274
1.1,0.0274
1.17,0.0274
1.2,0.0274
1.28,0.0275
1.32,0.0276
1.4,0.0276
1.45,0.0276
1.54,0.0276
1.64,0.0274
1.75,0.0274
1.86,0.0274
1.98,0.0274
2.11,0.0274
2.31,0.0275
2.38,0.0275
2.46,0.0275
2.54,0.0275
2.7,0.0275
2.87,0.0276
2.96,0.0276
3.06,0.0276
3.25,0.0276
3.46,0.0276
3.69,0.0276
3.92,0.0275
4.05,0.0275
4.31,0.0276
4.44,0.0276
5.03,0.0275
5.35,0.0276
5.52,0.0276
5.7,0.0276
6.06,0.0276
6.26,0.0277
6.66,0.0277
6.87,0.0277
7.08,0.0277
7.31,0.0277
7.54,0.0277
7.78,0.0277
8.28,0.0277
9.09,0.0278
9.67,0.0278
10.3,0.0278
11,0.0277
11.7,0.0277
12,0.0277
12.4,0.0277
12.8,0.0277
13.2,0.0277
14,0.0278
14.5,0.0278
15.9,0.0278
16.4,0.0278
18,0.0278
19.8,0.0278
20.4,0.0278
21.7,0.0279
23.1,0.0279
24.6,0.0279
26.2,0.0279
29.6,0.0279
31.5,0.0279
